date,total_doses,total_vaccinated,total_fully_vaccinated
16/1/2021,274,274,0
17/1/2021,274,274,0
18/1/2021,554,554,0
19/1/2021,759,759,0
20/1/2021,759,759,0
21/1/2021,759,759,0
22/1/2021,1097,1097,0
23/1/2021,1478,1478,0
24/1/2021,1478,1478,0
25/1/2021,1813,1813,0
26/1/2021,1813,1813,0
27/1/2021,1813,1813,0
28/1/2021,1813,1813,0
29/1/2021,2299,2299,0
30/1/2021,2736,2736,0
31/1/2021,2736,2736,0
1/2/2021,2988,2988,0
2/2/2021,3077,3077,0
3/2/2021,3222,3222,0
4/2/2021,3222,3222,0
5/2/2021,3532,3532,0
6/2/2021,3532,3532,0
7/2/2021,3532,3532,0
8/2/2021,3881,3881,0
9/2/2021,4301,4301,0
10/2/0201,4770,4770,0
11/2/2021,4780,4780,0
12/2/2021,5510,5510,0
13/2/2021,6024,5953,71
14/2/2021,6024,5953,71
15/2/2021,6513,6320,193
16/2/2021,6957,6627,330
17/2/2021,7354,6959,395
18/2/2021,8115,7661,454
19/2/2021,9126,8481,645
20/2/2021,10104,9251,853
21/2/2021,10104,9251,853
22/2/2021,10337,9356,981
23/2/2021,10450,9431,1019
24/2/2021,10459,9436,1023
25/2/2021,10479,9455,1024
26/2/2021,11144,9920,1224
27/2/2021,11144,9920,1224
28/2/2021,11144,9920,1224
1/3/2021,11766,10292,1474
2/3/2021,12589,10994,1595
3/3/2021,14845,12948,1897
4/3/2021,16562,14542,2020
5/3/2021,17501,15431,2070
6/3/2021,18847,16536,2311
7/3/2021,18847,16536,2311
8/3/2021,20618,18109,2509
9/3/2021,22078,19275,2803
10/3/2021,24007,20967,3040
11/3/2021,25558,22330,3228
12/3/2021,27331,23809,3522
13/3/2021,29319,25487,3832
14/3/2021,29319,25487,3832
15/3/2021,31864,27803,4061
16/3/2021,34565,30247,4318
17/3/2021,37769,33239,4530
18/3/2021,41660,36592,5068
19/3/2021,44421,38880,5541
20/3/2021,48565,42524,6041
21/3/2021,48565,42524,6041
22/3/2021,52198,45916,6282
23/3/2021,55132,48623,6509
24/3/2021,60041,53441,6600
25/3/2021,62839,56187,6652
26/3/2021,65578,58833,6745
27/3/2021,67980,61157,6823
28/3/2021,67980,61157,6823
29/3/2021,70124,63209,6915
30/3/2021,70258,63342,6916
31/3/2021,74165,67035,7130
1/4/2021,76570,69200,7370
2/4/2021,77771,70647,7124
3/4/2021,81457,74151,7306
4/4/2021,83053,75651,7402
5/4/2021,85421,77398,8023
6/4/2021,86099,78014,8085
7/4/2021,87581,79262,8319
8/4/2021,90099,81412,8687
9/4/2021,93096,83958,9138
,,9138,
